campbell,1
b.e,1.477121255
dillibazar,1
jose,1.301029996
tribhuwan,1.698970004
north,1
planning,1
lisha,1
a.a.t.,1
b.tech.,1
associate,2.301029996
2010,1.84509804
hostel,1
occupational,1
ia,1.301029996
software,1.602059991
carolina,1
cbse,1
postgraduate,1
communication,1.602059991
intermediate,1.602059991
m.i.t,1
leadership,1
valley,1.698970004
phd,1.301029996
texas,1.602059991
occidental,1
bis,1
al,1.301029996
aot,1
cal,1
september,1.477121255
stream,1
fairfield,1.301029996
sarasota,1
aas,1.84509804
el,1.602059991
governor's,1
b.a,1
psychology,1
polar,1
mschons,1
urban,1
board,1.301029996
duke,1
system,1.602059991
masters,1.698970004
aggregate,1
doctor,1.602059991
78.78%,1
white,1.301029996
liberal,1
internetworking,1
sd,1
m.,1.301029996
prabhat,1
b.s.e.,1
2002hiladelphia,1
music,1.301029996
newton,1
working,1
pleasant,1.301029996
whitehouse,1
tx,1.602059991
birgunj,1
irving,1
bothell,1
hseb,2
orlando,1
2005,1
d.,1.477121255
2008,1.301029996
dsc,1
st,1
technological,1.301029996
mt,1
qualifications,1.698970004
uc,1
george,1.301029996
b.a.,1.301029996
game,1
grade,1.301029996
2,1.477121255
83%,1
s.d.,1
budhanilkantha,1
buies,1
universidad,1
public,1.477121255
october,1
scoring,1.301029996
design,1.301029996
kyushu,1.301029996
diego,1
shikshadeep,1
houston,1.602059991
administration,1
certificate,1.698970004
1,1.477121255
corporate,1
bs,2.041392685
es,1
park,1
telecommunications,1
90.13%,1
libali,1
engineer,1.698970004
manbhawan,1
b.s.c.s.,1
california,1
massachusetts,1.477121255
electronic,1
bee,1
remington,1
aat,1
w,1
june,1.477121255
dartmouth,1.301029996
applied,2.041392685
2068,1
virginia,1
arniko,1
ga,1.301029996
mscs,1
advanced,1
maitighar,1.477121255
83.90%,1
b.e.,1.954242509
pharmacy,1.477121255
1983novell,1
technology,2.579783597
[2011],1.477121255
hattiban,1
gujarat,1
campus,2.431363764
pulchowk,2.447158031
raleigh,1
mexico,1
washington,1.77815125
ramnagar,1
bluegrass,1
quality,1
78.20%,1
h.s.e.b,1
s.b.,1
specialization,1
angels',1
government,1.477121255
e.c.s.,1
hnd,1
college,2.633468456
network,1.477121255
89%,1
programme,1
ny,1.602059991
diploma,2
arkansas,1.301029996
bernhardt,1
beng,1
biotechnology,1
mukwonago,1.301029996
m.s.,1.698970004
minor,1
2017,1.477121255
flushing,1
rock,1.477121255
christian,1
purdue,1.301029996
decatur,1
maine,1
79.50%,1
pa,1.477121255
info,1.301029996
kenosha,1.301029996
90%,1
clear,1
physics,1.477121255
kumaripati,1
recording,1
central,2.041392685
entrepreneurial,1.301029996
state,2.176091259
systems,2.255272505
1997,1.477121255
certified,1
hss,1.477121255
culture,1.301029996
bhaktapur,1.698970004
2014,1.602059991
mswe,1
s.,1.698970004
ad,1.84509804
khwopa,1.477121255
nasa,1
hons,1.77815125
education,2.079181246
wi,1.301029996
nepal,2.041392685
everest,1.301029996
queen,1
fremont,1
gmeiner,1
running,1
2019,1
york,1.301029996
b.,1.301029996
b.sc.,1.301029996
82.40%,1
national,1
h,1
84.25%,1
present,1.954242509
paso,1.301029996
&,2
bachelors,2
sciences,1.602059991
august,1.477121255
mathematics,1.84509804
data,1
ph.,1.477121255
la,1
institute,2.113943352
hermann,1
leavey,1
may,1.477121255
85.85%,1
2,2.230448921
scd,1
2074,1
nc,1.301029996
networking,1.301029996
accounting,1.301029996
information,2.397940009
infotech,1
lalitpur,2.041392685
assurance,1
10+2,1
devry,1.301029996
jawaharlal,1.301029996
level,1.477121255
bristol,1
maharashtra,1.301029996
ph.d.,1
santa,1.477121255
1998,1.301029996
philosophy,1
springfield,1
mi,1
tech.,1
a.o.t.,1
msc.,1
kathmandu,2
bolivariana,1
lake,1
communications,1.602059991
2012,1.903089987
fuqua,1
graded,1
ba,1.301029996
astronomy,1
88%,1
83.20%,1
aa,1.301029996
glacier,1
bse,1
informatic,1
lexington,1.301029996
creek,1
river,1
garden,1
lri,1
baton,1
mary,1
polytechnic,1.301029996
namuna,1
creative,1
higher,2.204119983
strategies,1
muvattupuzha,1
star,1
ms,1.477121255
a.a.s.,1
mary's,1
2013,2.322219295
tribhuvan,1.301029996
84.13%,1
mason,1
high,1.903089987
technical,1.301029996
btech,1
digital,1.301029996
sindhupalchok,1
marks,1.301029996
pennsylvania,1
mandir,1.301029996
